category,title,source_name,url,access_status,year,author,summary,evidence_note,query_used,raw_id,saved_html_path,saved_text_path
manual_url,Category:Jesse Livermore - Wikimedia Commons,Manual URL,https://commons.wikimedia.org/wiki/Category:Jesse_Livermore,accessible_text_extracted,,,"Appearance
American stock trader (1877–1940) | |||||
| Upload media | |||||
| Name in native language |
| ||||
|---|---|---|---|---|---|
| Date of birth | 26 July 1877 Massachusetts | ||||
| Date of death | 28 November 1940 New York City | ||||
| Manner of death | |||||
| Country of citizenship | |||||
| Occupation | |||||
| Relative | |||||
| |||||
Media in category ""Jesse Livermore""
The following 2 files are in this category, out of 2 total.",Content extracted from a user-specified public URL.,,,raw/html/manual_04_https-commons-wikimedia-org-wiki-category-jesse-livermore.html,texts/manual_04_https-commons-wikimedia-org-wiki-category-jesse-livermore.txt
manual_url,"The Project Gutenberg eBook of Reminiscences of a Stock Operator, by Edwin Lefevre.",Manual URL,https://www.gutenberg.org/files/60979/60979-h/60979-h.htm,accessible_text_extracted,,,"Transcriber’s Note
Table of Contents created by Transcriber and placed in the Public Domain.
Cover created by Transcriber and placed in the Public Domain.
REMINISCENCES
OF A
STOCK OPERATOR
By Edwin Lefevre
with a new Introduction by
Benton W. Davis
American Research Council · Larchmont, New York
Copyright © 1923 by George H. Doran Company
All Rights Reserved
Reprinted by arrangement with Doubleday & Company, Inc.
Library of Congress Catalog Card Number: 64-23364
Printed in the United States of America
To
Jesse Lauriston Livermore
| I | 1 |
| II | 14 |
| III | 30 |
| IV | 39 |
| V | 55 |
| VI | 67 |
| VII | 80 |
| VIII | 87 |
| IX | 100 |
| X | 117 |
| XI | 131 |
| XII | 144 |
| XIII | 160 |
| XIV | 173 |
| XV | 190 |
| XVI | 199 |
| XVII | 215 |
| XVIII | 230 |
| XIX | 238 |
| XX | 245 |
| XXI | 257 |
| XXII | 273 |
| XXIII | 293 |
| XXIV | 304 |
I went to work when I was just out of grammar school. I got a job as quotation-board boy in a stock-brokerage office. I was quick at figures. At school I did three years of arithmetic in one. I was particularly good at mental arithmetic. As quotation-board boy I posted the numbers on the big board in the customers’ room. One of the custome",Content extracted from a user-specified public URL.,,,raw/html/manual_01_https-www-gutenberg-org-files-60979-60979-h-60979-h-htm.html,texts/manual_01_https-www-gutenberg-org-files-60979-60979-h-60979-h-htm.txt
book_or_record,How to Trade In Stocks,Open Library,https://openlibrary.org/works/OL7913587W,has_archive_link,2006,Jesse Livermore,,Internet Archive IDs: howtotradeinstoc0000live; ebook_access=printdisabled; Captured Internet Archive detail page: https://archive.org/details/howtotradeinstoc0000live,Jesse Livermore,/works/OL7913587W,raw/html/record_08_https-archive-org-details-howtotradeinstoc0000live.html,texts/record_08_https-archive-org-details-howtotradeinstoc0000live.txt
book_or_record,Trade Like Jesse Livermore,Open Library,https://openlibrary.org/works/OL6023177W,has_archive_link,2004,Richard Smitten,,Internet Archive IDs: tradelikejesseli00smit_703; ebook_access=unclassified,Jesse Livermore,/works/OL6023177W,raw/html/record_07_works-ol6023177w.html,texts/record_07_works-ol6023177w.txt
book_or_record,"The amazing life of Jesse Livermore, world's greatest stock trader",Open Library,https://openlibrary.org/works/OL6023170W,has_archive_link,1999,Richard Smitten,,Internet Archive IDs: amazinglifeofjes00smit; ebook_access=borrowable; Captured Internet Archive detail page: https://archive.org/details/amazinglifeofjes00smit,"""Jesse Livermore"" biography",/works/OL6023170W,raw/html/record_21_https-archive-org-details-amazinglifeofjes00smit.html,texts/record_21_https-archive-org-details-amazinglifeofjes00smit.txt
book_or_record,Reminiscences of a stock operator,Open Library,https://openlibrary.org/works/OL3472215W,has_archive_link,1923,"Edwin Lefèvre, Price Tim, Roger Lowenstein",,"Internet Archive IDs: reminiscencesofs0000lefe_l7g7, reminiscencesofs00lefe, reminiscencesofs0000lefe; ebook_access=printdisabled; Captured Internet Archive detail page: https://archive.org/details/reminiscencesofs0000lefe_l7g7",Jesse Livermore,/works/OL3472215W,raw/html/record_01_https-archive-org-details-reminiscencesofs0000lefe-l7g7.html,texts/record_01_https-archive-org-details-reminiscencesofs0000lefe-l7g7.txt
book_or_record,Jesse Livermore : world's greatest stock trader,Open Library,https://openlibrary.org/works/OL17689088W,has_archive_link,,,,Internet Archive IDs: jesselivermore00rich; ebook_access=printdisabled; Captured Internet Archive detail page: https://archive.org/details/jesselivermore00rich,Jesse Livermore,/works/OL17689088W,raw/html/record_13_https-archive-org-details-jesselivermore00rich.html,texts/record_13_https-archive-org-details-jesselivermore00rich.txt
archive_record,Jesse Livermore – Nhà đầu tư vĩ đại (Sách nói),Internet Archive,https://archive.org/details/nha-dau-tu-vi-dai,check_item_page,2026,Hiro,Internet Archive text/archive candidate.,"May include borrowable scans, preview only, or metadata-only record.; Captured Internet Archive detail page: https://archive.org/details/nha-dau-tu-vi-dai","title:(""Jesse Livermore"") OR subject:(""Jesse Livermore"")",nha-dau-tu-vi-dai,raw/html/record_29_https-archive-org-details-nha-dau-tu-vi-dai.html,texts/record_29_https-archive-org-details-nha-dau-tu-vi-dai.txt
archive_record,A Bellman View of Jesse Livermore,Internet Archive,https://archive.org/details/arxiv-1407.2642,check_item_page,2014,"Nick Polson, Jan Hendrik Witte",Internet Archive text/archive candidate.,"May include borrowable scans, preview only, or metadata-only record.; Captured Internet Archive detail page: https://archive.org/details/arxiv-1407.2642","title:(""Jesse Livermore"") OR subject:(""Jesse Livermore"")",arxiv-1407.2642,raw/html/record_28_https-archive-org-details-arxiv-1407-2642.html,texts/record_28_https-archive-org-details-arxiv-1407-2642.txt
archive_record,Reminiscences of a stock operator : with new commentary and insights on the life and times of Jesse Livermore,Internet Archive,https://archive.org/details/reminiscencesofs0000lefe_l7g7,check_item_page,2010,"Lefevre, Edwin, 1871-1943",Internet Archive text/archive candidate.,"May include borrowable scans, preview only, or metadata-only record.; Captured Internet Archive detail page: https://archive.org/details/reminiscencesofs0000lefe_l7g7","title:(""Jesse Livermore"") OR subject:(""Jesse Livermore"")",reminiscencesofs0000lefe_l7g7,raw/html/record_32_https-archive-org-details-reminiscencesofs0000lefe-l7g7.html,texts/record_32_https-archive-org-details-reminiscencesofs0000lefe-l7g7.txt
